Trap,Insect,year,month,Total,Trap Operating Days
Rothamsted,Rhopalosiphum padi,1990,4,19,730
Rothamsted,Rhopalosiphum padi,1990,5,345,1460
Rothamsted,Rhopalosiphum padi,1990,6,55,1460
Rothamsted,Rhopalosiphum padi,1990,7,72,1825
Rothamsted,Rhopalosiphum padi,1990,8,39,1095
Rothamsted,Rhopalosiphum padi,1990,9,17,1095
Rothamsted,Rhopalosiphum padi,1990,10,659,1825
Rothamsted,Rhopalosiphum padi,1990,11,50,1095
Rothamsted,Rhopalosiphum padi,1991,5,3,365
Rothamsted,Rhopalosiphum padi,1991,6,8,1095
Rothamsted,Rhopalosiphum padi,1991,7,571,1825
Rothamsted,Rhopalosiphum padi,1991,8,211,1460
Rothamsted,Rhopalosiphum padi,1991,9,498,1825
Rothamsted,Rhopalosiphum padi,1991,10,1384,1460
Rothamsted,Rhopalosiphum padi,1991,11,8,1460
Rothamsted,Rhopalosiphum padi,1992,5,21,1464
Rothamsted,Rhopalosiphum padi,1992,6,317,1830
Rothamsted,Rhopalosiphum padi,1992,7,172,1464
Rothamsted,Rhopalosiphum padi,1992,8,54,1830
Rothamsted,Rhopalosiphum padi,1992,9,3456,1464
Rothamsted,Rhopalosiphum padi,1992,10,387,1464
Rothamsted,Rhopalosiphum padi,1992,11,8,1098
Rothamsted,Rhopalosiphum padi,1993,4,3,365
Rothamsted,Rhopalosiphum padi,1993,5,36,1825
Rothamsted,Rhopalosiphum padi,1993,6,119,1460
Rothamsted,Rhopalosiphum padi,1993,7,358,1460
Rothamsted,Rhopalosiphum padi,1993,8,504,1825
Rothamsted,Rhopalosiphum padi,1993,9,164,1460
Rothamsted,Rhopalosiphum padi,1993,10,144,1460
Rothamsted,Rhopalosiphum padi,1993,11,21,365
Rothamsted,Rhopalosiphum padi,1994,5,6,1095
Rothamsted,Rhopalosiphum padi,1994,6,323,1460
Rothamsted,Rhopalosiphum padi,1994,7,1883,1460
Rothamsted,Rhopalosiphum padi,1994,8,20,1825
Rothamsted,Rhopalosiphum padi,1994,9,671,1460
Rothamsted,Rhopalosiphum padi,1994,10,1429,1825
Rothamsted,Rhopalosiphum padi,1994,11,44,1460
Rothamsted,Rhopalosiphum padi,1995,4,5,1095
Rothamsted,Rhopalosiphum padi,1995,5,201,1460
Rothamsted,Rhopalosiphum padi,1995,6,205,1460
Rothamsted,Rhopalosiphum padi,1995,7,210,1825
Rothamsted,Rhopalosiphum padi,1995,8,31,1095
Rothamsted,Rhopalosiphum padi,1995,9,17,1095
Rothamsted,Rhopalosiphum padi,1995,10,143,1825
Rothamsted,Rhopalosiphum padi,1995,11,8,1460
Rothamsted,Rhopalosiphum padi,1996,6,5,732
Rothamsted,Rhopalosiphum padi,1996,7,350,1098
Rothamsted,Rhopalosiphum padi,1996,8,208,1464
Rothamsted,Rhopalosiphum padi,1996,9,128,1830
Rothamsted,Rhopalosiphum padi,1996,10,1430,1464
Rothamsted,Rhopalosiphum padi,1996,11,48,1098
Rothamsted,Rhopalosiphum padi,1997,4,6,730
Rothamsted,Rhopalosiphum padi,1997,5,13,1095
Rothamsted,Rhopalosiphum padi,1997,6,37,1825
Rothamsted,Rhopalosiphum padi,1997,7,1884,1460
Rothamsted,Rhopalosiphum padi,1997,8,133,1460
Rothamsted,Rhopalosiphum padi,1997,9,756,1825
Rothamsted,Rhopalosiphum padi,1997,10,1794,1460
Rothamsted,Rhopalosiphum padi,1997,11,97,1460
Rothamsted,Rhopalosiphum padi,1998,4,2,730
Rothamsted,Rhopalosiphum padi,1998,5,59,1460
Rothamsted,Rhopalosiphum padi,1998,6,36,1825
Rothamsted,Rhopalosiphum padi,1998,7,214,1460
Rothamsted,Rhopalosiphum padi,1998,8,212,1825
Rothamsted,Rhopalosiphum padi,1998,9,718,1460
Rothamsted,Rhopalosiphum padi,1998,10,124,1460
Rothamsted,Rhopalosiphum padi,1998,11,9,730
Rothamsted,Rhopalosiphum padi,1999,4,2,365
Rothamsted,Rhopalosiphum padi,1999,5,14,1095
Rothamsted,Rhopalosiphum padi,1999,6,33,1460
Rothamsted,Rhopalosiphum padi,1999,7,289,1460
Rothamsted,Rhopalosiphum padi,1999,8,121,1825
Rothamsted,Rhopalosiphum padi,1999,9,705,1460
Rothamsted,Rhopalosiphum padi,1999,10,569,1460
Rothamsted,Rhopalosiphum padi,1999,11,24,1095
Rothamsted,Rhopalosiphum padi,2000,5,48,1830
Rothamsted,Rhopalosiphum padi,2000,6,50,1464
Rothamsted,Rhopalosiphum padi,2000,7,244,1830
Rothamsted,Rhopalosiphum padi,2000,8,214,1464
Rothamsted,Rhopalosiphum padi,2000,9,410,1464
Rothamsted,Rhopalosiphum padi,2000,10,378,1830
Rothamsted,Rhopalosiphum padi,2000,11,7,732
Rothamsted,Rhopalosiphum padi,2001,5,3,730
Rothamsted,Rhopalosiphum padi,2001,6,29,1095
Rothamsted,Rhopalosiphum padi,2001,7,348,1825
Rothamsted,Rhopalosiphum padi,2001,8,98,1460
Rothamsted,Rhopalosiphum padi,2001,9,129,1460
Rothamsted,Rhopalosiphum padi,2001,10,1441,1825
Rothamsted,Rhopalosiphum padi,2001,11,15,1095
Rothamsted,Rhopalosiphum padi,2001,12,2,365
Rothamsted,Rhopalosiphum padi,2002,4,5,1095
Rothamsted,Rhopalosiphum padi,2002,5,76,1460
Rothamsted,Rhopalosiphum padi,2002,6,62,1460
Rothamsted,Rhopalosiphum padi,2002,7,192,1825
Rothamsted,Rhopalosiphum padi,2002,8,192,1460
Rothamsted,Rhopalosiphum padi,2002,9,453,1825
Rothamsted,Rhopalosiphum padi,2002,10,330,1460
Rothamsted,Rhopalosiphum padi,2002,11,24,730
Rothamsted,Rhopalosiphum padi,2003,5,10,730
Rothamsted,Rhopalosiphum padi,2003,6,31,1825
Rothamsted,Rhopalosiphum padi,2003,7,719,1460
Rothamsted,Rhopalosiphum padi,2003,8,32,1460
Rothamsted,Rhopalosiphum padi,2003,9,239,1825
Rothamsted,Rhopalosiphum padi,2003,10,96,1460
Rothamsted,Rhopalosiphum padi,2003,11,54,1460
Rothamsted,Rhopalosiphum padi,2003,12,1,365
Rothamsted,Rhopalosiphum padi,2004,4,4,732
Rothamsted,Rhopalosiphum padi,2004,5,24,1464
Rothamsted,Rhopalosiphum padi,2004,6,157,1464
Rothamsted,Rhopalosiphum padi,2004,7,1438,1464
Rothamsted,Rhopalosiphum padi,2004,8,28,1098
Rothamsted,Rhopalosiphum padi,2004,9,906,1464
Rothamsted,Rhopalosiphum padi,2004,10,1014,1464
Rothamsted,Rhopalosiphum padi,2004,11,86,1464
Rothamsted,Rhopalosiphum padi,2004,12,1,366
Rothamsted,Rhopalosiphum padi,2005,4,2,365
Rothamsted,Rhopalosiphum padi,2005,5,13,1460
Rothamsted,Rhopalosiphum padi,2005,6,45,1460
Rothamsted,Rhopalosiphum padi,2005,7,135,1460
Rothamsted,Rhopalosiphum padi,2005,8,143,1825
Rothamsted,Rhopalosiphum padi,2005,9,168,1460
Rothamsted,Rhopalosiphum padi,2005,10,690,1825
Rothamsted,Rhopalosiphum padi,2005,11,5,730
Rothamsted,Rhopalosiphum padi,2006,5,12,1460
Rothamsted,Rhopalosiphum padi,2006,6,112,1460
Rothamsted,Rhopalosiphum padi,2006,7,180,1460
Rothamsted,Rhopalosiphum padi,2006,8,10,730
Rothamsted,Rhopalosiphum padi,2006,9,2412,1460
Rothamsted,Rhopalosiphum padi,2006,10,4684,1825
Rothamsted,Rhopalosiphum padi,2006,11,125,1460
Rothamsted,Rhopalosiphum padi,2007,4,12,1460
Rothamsted,Rhopalosiphum padi,2007,5,69,1460
Rothamsted,Rhopalosiphum padi,2007,6,76,1460
Rothamsted,Rhopalosiphum padi,2007,7,174,1825
Rothamsted,Rhopalosiphum padi,2007,8,147,1460
Rothamsted,Rhopalosiphum padi,2007,9,423,1460
Rothamsted,Rhopalosiphum padi,2007,10,655,1825
Rothamsted,Rhopalosiphum padi,2007,11,30,730
Rothamsted,Rhopalosiphum padi,2008,5,29,1464
Rothamsted,Rhopalosiphum padi,2008,6,53,1830
Rothamsted,Rhopalosiphum padi,2008,7,186,1464
Rothamsted,Rhopalosiphum padi,2008,8,68,1464
Rothamsted,Rhopalosiphum padi,2008,9,636,1830
Rothamsted,Rhopalosiphum padi,2008,10,768,1464
Rothamsted,Rhopalosiphum padi,2008,11,45,732
Rothamsted,Rhopalosiphum padi,2009,4,4,730
Rothamsted,Rhopalosiphum padi,2009,5,23,1460
Rothamsted,Rhopalosiphum padi,2009,6,644,1825
Rothamsted,Rhopalosiphum padi,2009,7,76,1460
Rothamsted,Rhopalosiphum padi,2009,8,65,1825
Rothamsted,Rhopalosiphum padi,2009,9,1016,1460
Rothamsted,Rhopalosiphum padi,2009,10,2526,1460
Rothamsted,Rhopalosiphum padi,2009,11,77,730
Rothamsted,Rhopalosiphum padi,2009,12,1,365
Rothamsted,Rhopalosiphum padi,2010,5,17,1095
Rothamsted,Rhopalosiphum padi,2010,6,24,1095
Rothamsted,Rhopalosiphum padi,2010,7,359,1460
Rothamsted,Rhopalosiphum padi,2010,8,122,1460
Rothamsted,Rhopalosiphum padi,2010,9,480,1460
Rothamsted,Rhopalosiphum padi,2010,10,993,1460
Rothamsted,Rhopalosiphum padi,2010,11,45,1095
Rothamsted,Rhopalosiphum padi,2011,4,16,728
Rothamsted,Rhopalosiphum padi,2011,5,76,1820
Rothamsted,Rhopalosiphum padi,2011,6,1171,1456
Rothamsted,Rhopalosiphum padi,2011,7,866,1456
Rothamsted,Rhopalosiphum padi,2011,8,188,1820
Rothamsted,Rhopalosiphum padi,2011,9,1196,1456
Rothamsted,Rhopalosiphum padi,2011,10,1346,1820
Rothamsted,Rhopalosiphum padi,2011,11,109,1092
Rothamsted,Rhopalosiphum padi,2012,4,1,366
Rothamsted,Rhopalosiphum padi,2012,5,8,1098
Rothamsted,Rhopalosiphum padi,2012,6,8,1098
Rothamsted,Rhopalosiphum padi,2012,7,268,1830
Rothamsted,Rhopalosiphum padi,2012,8,556,1464
Rothamsted,Rhopalosiphum padi,2012,9,273,1464
Rothamsted,Rhopalosiphum padi,2012,10,695,1830
Rothamsted,Rhopalosiphum padi,2012,11,24,1098
Rothamsted,Rhopalosiphum padi,2013,5,10,1095
Rothamsted,Rhopalosiphum padi,2013,6,14,1460
Rothamsted,Rhopalosiphum padi,2013,7,102,1825
Rothamsted,Rhopalosiphum padi,2013,8,55,1460
Rothamsted,Rhopalosiphum padi,2013,9,353,1825
Rothamsted,Rhopalosiphum padi,2013,10,542,1460
Rothamsted,Rhopalosiphum padi,2013,11,5,730
Rothamsted,Rhopalosiphum padi,2014,4,3,730
Rothamsted,Rhopalosiphum padi,2014,5,14,1095
Rothamsted,Rhopalosiphum padi,2014,6,46,1825
Rothamsted,Rhopalosiphum padi,2014,7,122,1460
Rothamsted,Rhopalosiphum padi,2014,8,40,1460
Rothamsted,Rhopalosiphum padi,2014,9,2978,1825
Rothamsted,Rhopalosiphum padi,2014,10,1078,1460
Rothamsted,Rhopalosiphum padi,2014,11,34,1460
Rothamsted,Rhopalosiphum padi,2015,5,6,912
Rothamsted,Rhopalosiphum padi,2015,6,16,1216
Rothamsted,Rhopalosiphum padi,2015,7,9,912
Rothamsted,Rhopalosiphum padi,2015,8,40,1520
Rothamsted,Rhopalosiphum padi,2015,9,414,1216
Rothamsted,Rhopalosiphum padi,2015,10,277,1216
Rothamsted,Rhopalosiphum padi,2016,4,1,342
Rothamsted,Rhopalosiphum padi,2016,5,161,1710
Rothamsted,Rhopalosiphum padi,2016,6,37,1368
Rothamsted,Rhopalosiphum padi,2016,7,171,1368
Rothamsted,Rhopalosiphum padi,2016,8,230,1710
Rothamsted,Rhopalosiphum padi,2016,9,173,1368
Rothamsted,Rhopalosiphum padi,2016,10,147,1710
Rothamsted,Rhopalosiphum padi,2016,11,7,684
Rothamsted,Rhopalosiphum padi,2017,4,2,295
Rothamsted,Rhopalosiphum padi,2017,5,25,1180
Rothamsted,Rhopalosiphum padi,2017,6,10,1180
Rothamsted,Rhopalosiphum padi,2017,7,23,1475
Rothamsted,Rhopalosiphum padi,2017,8,152,1180
Rothamsted,Rhopalosiphum padi,2017,9,372,1180
Rothamsted,Rhopalosiphum padi,2017,10,76,295
Rothamsted,Rhopalosiphum padi,2018,5,11,1095
Rothamsted,Rhopalosiphum padi,2018,6,19,1095
Rothamsted,Rhopalosiphum padi,2018,7,70,1460
Rothamsted,Rhopalosiphum padi,2018,8,9,1095
Rothamsted,Rhopalosiphum padi,2018,9,181,1460
Rothamsted,Rhopalosiphum padi,2018,10,3345,1825
Rothamsted,Rhopalosiphum padi,2018,11,211,1460
Rothamsted,Rhopalosiphum padi,2018,12,2,365
Rothamsted,Rhopalosiphum padi,2019,2,1,363
Rothamsted,Rhopalosiphum padi,2019,4,17,1089
Rothamsted,Rhopalosiphum padi,2019,5,101,1452
Rothamsted,Rhopalosiphum padi,2019,6,153,1452
Rothamsted,Rhopalosiphum padi,2019,7,71,1815
Rothamsted,Rhopalosiphum padi,2019,8,42,1089
Rothamsted,Rhopalosiphum padi,2019,9,272,1815
Rothamsted,Rhopalosiphum padi,2019,10,171,1452
Rothamsted,Rhopalosiphum padi,2019,11,15,1452
Rothamsted,Rhopalosiphum padi,2020,4,3,730
Rothamsted,Rhopalosiphum padi,2020,5,23,1095
Rothamsted,Rhopalosiphum padi,2020,6,39,1825
Rothamsted,Rhopalosiphum padi,2020,7,58,1460
Rothamsted,Rhopalosiphum padi,2020,8,50,1825
Rothamsted,Rhopalosiphum padi,2020,9,379,1460
Rothamsted,Rhopalosiphum padi,2020,10,152,1460
Rothamsted,Rhopalosiphum padi,2020,11,36,1460
Rothamsted,Rhopalosiphum padi,2020,12,3,730
